상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
향,한식,국수/칼국수,한식 면 요리 전문점,용신동,37.5765481179975,127.025369388608
38포차2,주점,요리 주점,기타 주점업,안암동,37.5845353029934,127.030224454257
두꺼비로멘스,주점,요리 주점,생맥주 전문점,동선동,37.5913182654242,127.018009105401
안암동닭한마리,한식,닭/오리고기 구이/찜,한식 일반 음식점업,안암동,37.5829293657617,127.028875311288
"왕푸징만두,불독핫도그",기타 간이,그 외 기타 간이 음식점,간이 음식 포장 판매 전문점,안암동,37.5878620717636,127.022810112405
수지상회,주점,요리 주점,기타 주점업,동선동,37.5914929884552,127.017350052378
칼디카파,비알코올 ,카페,커피 전문점,동선동,37.5953034855208,127.020493307775
명품중화요리,중식,중국집,중식 음식점업,용신동,37.5766244300582,127.030259133736
사일이,주점,요리 주점,기타 주점업,동선동,37.5913912450872,127.017034335365
놀자뮤직타운,주점,일반 유흥 주점,일반 유흥 주점업,동선동,37.5919656787661,127.016766340116
효이당,서양식,경양식,서양식 음식점업,안암동,37.5876587019635,127.029832923991
매트팩토리,비알코올 ,카페,커피 전문점,용신동,37.57626377201,127.030229847636
몽땅크로플,비알코올 ,카페,커피 전문점,보문동,37.5831021639316,127.019260574152
선호,비알코올 ,카페,커피 전문점,동선동,37.5948348076468,127.02047680339
신세계푸드시립동부병원,구내식당·뷔페,구내식당,기관 구내식당업,용신동,37.5753461112276,127.03149837563
카페마노아CAFEMANOA,비알코올 ,카페,커피 전문점,동선동,37.5909226044336,127.018104890661
가라와라국물닭발,한식,닭/오리고기 구이/찜,한식 일반 음식점업,동선동,37.5906476438368,127.018629373645
까페핸드,비알코올 ,카페,커피 전문점,동선동,37.5931955732392,127.01514219925
미광,한식,백반/한정식,한식 일반 음식점업,용신동,37.5770648526858,127.036729164692
김우리식당,한식,백반/한정식,한식 일반 음식점업,용신동,37.5783674698825,127.027462779515
끝까지맛있는피자소그로,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",용신동,37.5768134550388,127.037943770993
참나무닭나라,한식,돼지고기 구이/찜,한식 육류 요리 전문점,삼선동,37.5893024207449,127.009679169104
화원,중식,중국집,중식 음식점업,용신동,37.5709847709043,127.032562362678
구라닭,기타 간이,치킨,치킨 전문점,동선동,37.5914530299313,127.017962041075
까쉬,서양식,경양식,서양식 음식점업,동선동,37.5909884260853,127.019519441537
모드에,기타 간이,빵/도넛,"빵류, 과자류 및 당류 소매업",동선동,37.5957265652285,127.017192465307
위치앤샐러,기타 간이,피자,"피자, 햄버거, 샌드위치 및 유사 음식점업",안암동,37.5903848436739,127.029344607764
공차,비알코올 ,카페,기타 비알코올 음료점업,동선동,37.592790156091,127.01731034893
훗스테이크,서양식,파스타/스테이크,서양식 음식점업,동선동,37.5915158681173,127.016851521788
웅스치킨,기타 간이,치킨,치킨 전문점,종암동,37.5995116162919,127.033642653072
